Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric",83.400000,-94.080000,-90.000000,top
"C2","4.7u","C_0402_1005Metric",87.300000,-95.600000,-90.000000,top
"C3","1u","C_0402_1005Metric",102.490000,-87.430000,180.000000,top
"C4","2.2u","C_0805_2012Metric",84.760000,-82.590000,180.000000,top
"C5","0.1u","C_0402_1005Metric",84.050000,-80.600000,90.000000,top
"C6","4.7u","C_0402_1005Metric",96.900000,-96.850000,0.000000,top
"C7","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",95.600000,-97.367500,-90.000000,top
"C8","47u","C_0805_2012Metric",99.450000,-85.200000,90.000000,top
"C9","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.550000,-94.300000,180.000000,top
"C10","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",89.900000,-87.000000,90.000000,top
"C11","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.000000,-96.000000,0.000000,top
"C12","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",90.550000,-81.900000,0.000000,top
"C13","2.2u","C_0805_2012Metric",84.750000,-84.550000,180.000000,top
"C14","1u","C_0402_1005Metric",88.600000,-87.100000,180.000000,top
"C16","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",91.700000,-87.000000,-90.000000,top
"C17","47u","C_0805_2012Metric",97.450000,-85.200000,90.000000,top
"C18","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",93.400000,-97.367500,90.000000,top
"C19","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.100000,-91.367500,180.000000,top
"C20","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",102.900000,-90.900000,180.000000,top
"C21","2.2u","C_0402_1005Metric",103.870000,-89.590000,90.000000,top
"C22","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",102.800000,-95.800000,180.000000,top
"C23","4.7u","C_0402_1005Metric",100.620000,-87.400000,180.000000,top
"C24","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",91.000000,-87.000000,90.000000,top
"C25","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",84.000000,-89.700000,0.000000,top
"C26","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",92.400000,-87.000000,90.000000,top
"C27","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",94.350000,-87.250000,0.000000,top
"D1","TPSP3222-02ETG","SP322202ETG",83.850000,-90.700000,-90.000000,top
"D10","BAT60JFILM","SOD2513X117N",103.200000,-85.100000,90.000000,top
"D11","BAT60JFILM","SOD2513X117N",84.800000,-92.200000,180.000000,top
"FB1","MPZ2012S101ATD25","BEADC2012X90N",101.400000,-85.200000,90.000000,top
"IC1","ICM-42688P","IIM42352",102.300000,-93.100000,90.000000,top
"IC2","LMR51625YFDDCR","SOT95P280X110-6N",89.250000,-84.050000,0.000000,top
"IC3","ZD25WQ32CEIGR","SON50P300X200X60-9N",85.250000,-88.050000,180.000000,top
"IC4","LDL212PV33R","SON50P200X200X80-7N-D",85.300000,-94.700000,90.000000,top
"IC5","LDL212PV33R","SON50P200X200X80-7N-D",101.350000,-89.200000,0.000000,top
"J1","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",78.010000,-90.000000,-90.000000,top
"J2","SM08B-SRSS-TB","SM08BSRSSTB",90.000000,-78.112500,180.000000,top
"J3","SM06B-SRSS-TB","SM06BSRSSTB",88.900000,-101.780000,0.000000,top
"L1","ZEPIM303020D-4R7M","INDC3532X200N",93.900000,-84.100000,0.000000,top
"LEDBLUE1","150040BS73240","LED_0402_1005Metric",83.650000,-97.500000,90.000000,top
"LEDGREEN1","150040GS73240","LED_0402_1005Metric",85.200000,-97.482500,90.000000,top
"LEDRED3","150040RS73240","LED_0402_1005Metric",86.750000,-97.500000,90.000000,top
"LEDRED4","150040RS73240","LED_0402_1005Metric",88.350000,-97.482500,90.000000,top
"Q2","PMZB150UNEYL","PMZB150UNEYL",91.390000,-97.420000,180.000000,top
"R1","5.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",83.900000,-85.900000,0.000000,top
"R2","100k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",94.842500,-81.750000,180.000000,top
"R3","19.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",94.100000,-97.367500,-90.000000,top
"R5","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.550000,-91.500000,180.000000,top
"R6","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.550000,-92.200000,180.000000,top
"R7","19.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",88.600000,-86.200000,0.000000,top
"R8","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",94.350000,-86.550000,0.000000,top
"R9","19.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",88.600000,-88.000000,0.000000,top
"R10","5.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",85.500000,-91.050000,0.000000,top
"R11","19.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",88.750000,-81.900000,180.000000,top
"R13","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.550000,-92.900000,0.000000,top
"R14","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",93.100000,-87.000000,-90.000000,top
"R15","19.1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",100.000000,-90.900000,180.000000,top
"R17","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",94.800000,-97.367500,-90.000000,top
"R21","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.100000,-87.800000,180.000000,top
"R22","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",88.150000,-95.600000,-90.000000,top
"R41","100k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",92.600000,-97.400000,90.000000,top
"R44","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.092500,-88.567500,180.000000,top
"R45","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.092500,-89.267500,180.000000,top
"R46","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.092500,-89.967500,180.000000,top
"R47","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",98.092500,-90.667500,180.000000,top
"R56","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",89.800000,-97.300000,90.000000,top
"R61","47R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.550000,-93.600000,0.000000,top
"S1","TS2306A-240GF-MSM-9_C388290","TS2306A240GFMSM9_C388290",95.050000,-101.480000,90.000000,top
"U2","STM32G473CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",92.750000,-92.137500,180.000000,top
"Y2","CSTNE8M00GH5C000R0","CSTNE12M0GH5L000R0",98.800000,-93.650000,-90.000000,top